hst datetime,dh5_ghi,elevation,azimuth,dh5_rel
2010-03-22 07:30:00-10:00,77.7121,12.184611830451166,-273.93402805492207,0.541223378323792
2010-03-22 07:30:01-10:00,77.7121,12.188464282553179,-273.93559567453264,0.5409833783154439
2010-03-22 07:30:02-10:00,77.7121,12.192316740358086,-273.9371633357806,0.5407435910638814
2010-03-22 07:30:03-10:00,77.7121,12.196169203420999,-273.9387310385056,0.540504016286321
2010-03-22 07:30:04-10:00,77.7121,12.200021672158254,-273.9402987828991,0.54026465370048
2010-03-22 07:30:05-10:00,77.7121,12.203874146126626,-273.9418665688024,0.5400255030245754
2010-03-22 07:30:06-10:00,77.7121,12.207726781071775,-273.9434344598244,0.5397865639773228
2010-03-22 07:30:07-10:00,77.7121,12.211579110237851,-273.94500226521933,0.5395478362779357
2010-03-22 07:30:08-10:00,77.7121,12.215431756005723,-273.94657023951856,0.5393093196461238
2010-03-22 07:30:09-10:00,77.7121,12.219284251621275,-273.94813819197395,0.5390710138020927
2010-03-22 07:30:10-10:00,77.7121,12.223136752829612,-273.9497061861951,0.5388329184665415
2010-03-22 07:30:11-10:00,77.7121,12.22698925940058,-273.95127422210896,0.5385950333606633
2010-03-22 07:30:12-10:00,77.7121,12.230841771106753,-273.9528422996451,0.5383573582061428
2010-03-22 07:30:13-10:00,77.7121,12.23469444369677,-273.9544104824257,0.5381198927251564
2010-03-22 07:30:14-10:00,77.7121,12.238546810407467,-273.95597857966675,0.5378826366403697
2010-03-22 07:30:15-10:00,77.7121,12.24239949395254,-273.95754684628395,0.5376455896749377
2010-03-22 07:30:16-10:00,77.3621,12.246252026597915,-273.9591150904872,0.5349883683297696
2010-03-22 07:30:17-10:00,77.012,12.25010456506519,-273.9606833769037,0.5323327957840281
2010-03-22 07:30:18-10:00,77.012,12.253957108586295,-273.9622517050396,0.5320985044143476
2010-03-22 07:30:19-10:00,77.012,12.257809657575386,-273.96382007508396,0.5318644191875068
2010-03-22 07:30:20-10:00,77.012,12.26166221159016,-273.96538848687874,0.5316305398315615
2010-03-22 07:30:21-10:00,77.012,12.265514770723271,-273.96695694028153,0.531396866075045
2010-03-22 07:30:22-10:00,77.012,12.269367490837363,-273.9685254995816,0.5311633976469681
2010-03-22 07:30:23-10:00,77.012,12.273220060384773,-273.9700940367435,0.530930134276817
2010-03-22 07:30:24-10:00,77.012,12.277072635228667,-273.9716626160555,0.5306970756945536
2010-03-22 07:30:25-10:00,77.012,12.28092521545974,-273.97323123737317,0.5304642216306134
2010-03-22 07:30:26-10:00,77.012,12.284777800637052,-273.9747999005398,0.5302315718159047
2010-03-22 07:30:27-10:00,77.012,12.288630391174532,-273.9763686057442,0.5299991259818081
2010-03-22 07:30:28-10:00,77.012,12.29248298684439,-273.9779373529156,0.5297668838601743
2010-03-22 07:30:29-10:00,77.012,12.296335742751651,-273.9795062054378,0.5295348451833246
2010-03-22 07:30:30-10:00,77.012,12.300188348321798,-273.9810750362585,0.5293030096840485
2010-03-22 07:30:31-10:00,77.012,12.304040959093761,-273.9826439093421,0.5290713770956035
2010-03-22 07:30:32-10:00,77.012,12.307893575159794,-273.9842128245452,0.5288399471517136
2010-03-22 07:30:33-10:00,77.012,12.31174619607409,-273.9857817817063,0.5286087195865689
2010-03-22 07:30:34-10:00,77.012,12.315598822255467,-273.9873507810192,0.5283776941348238
2010-03-22 07:30:35-10:00,77.012,12.319451453260584,-273.98891982232453,0.5281468705315965
2010-03-22 07:30:36-10:00,77.012,12.32330424484139,-273.99048896928196,0.5279162485124679
2010-03-22 07:30:37-10:00,77.012,12.327156885558981,-273.99205809446255,0.5276858278134805
2010-03-22 07:30:38-10:00,77.012,12.331009531814138,-273.9936272621939,0.5274556081711375
2010-03-22 07:30:39-10:00,77.012,12.334862182838654,-273.9951964719814,0.5272255893224017
2010-03-22 07:30:40-10:00,77.012,12.338714839048265,-273.9967657240157,0.5269957710046944
2010-03-22 07:30:41-10:00,77.012,12.342567500001465,-273.9983350181394,0.5267661529558947
2010-03-22 07:30:42-10:00,77.012,12.346420166113921,-273.99990435454316,0.5265367349143384
2010-03-22 07:30:43-10:00,77.012,12.350272992280921,-274.00147379654913,0.5263075166188166
2010-03-22 07:30:44-10:00,77.012,12.354125512581586,-274.003043153572,0.5260784978085755
2010-03-22 07:30:45-10:00,77.012,12.35797834856935,-274.0046126800449,0.5258496782233147
2010-03-22 07:30:46-10:00,77.012,12.361831034326539,-274.00618218538125,0.5256210576031866
2010-03-22 07:30:47-10:00,77.012,12.365683724963393,-274.0077517329926,0.525392635688795
2010-03-22 07:30:48-10:00,77.012,12.369536420247874,-274.0093213228032,0.5251644122211948
2010-03-22 07:30:49-10:00,77.3621,12.373389120600583,-274.01089095500896,0.5273227712595079
2010-03-22 07:30:50-10:00,77.7121,12.377241980912324,-274.01246069293785,0.5294785754679058
2010-03-22 07:30:51-10:00,77.7121,12.381094535265005,-274.0140303459757,0.5292488764576767
2010-03-22 07:30:52-10:00,77.7121,12.384947405539249,-274.01560016893563,0.5290193766576083
2010-03-22 07:30:53-10:00,77.7121,12.388800124839905,-274.01716997019025,0.528790075808661
2010-03-22 07:30:54-10:00,77.7121,12.392652849033274,-274.018739814076,0.5285609736522434
2010-03-22 07:30:55-10:00,77.7121,12.396505578215463,-274.02030970045377,0.5283320699302126
2010-03-22 07:30:56-10:00,77.7121,12.40035831194047,-274.02187962916105,0.5281033643848724
2010-03-22 07:30:57-10:00,77.7121,12.404211050625682,-274.0234496003903,0.5278748567589727
